Start,End,Open,High,Low,Close,Volume,Market Cap,Circulating Supply
2009-01-03,2009-01-04,0.00000022,0.00000022,0.00000022,0.00000022,0,0.00001103,50
2009-01-04,2009-01-05,0.00000022,0.00000022,0.00000022,0.00000022,0,0.00159872,7250
2009-01-05,2009-01-06,0.00000022,0.00000022,0.00000022,0.00000022,0,0.00318642,14450
2009-01-06,2009-01-07,0.00000022,0.00000022,0.00000022,0.00000022,0,0.00477411,21650
2009-01-07,2009-01-08,0.00000022,0.00000022,0.00000022,0.00000022,0,0.00636181,28850
2009-01-08,2009-01-09,0.00000022,0.00000022,0.00000022,0.00000022,0,0.00794951,36050
2009-01-09,2009-01-10,0.00000036,0.00000036,0.00000036,0.00000036,0,0.01538258,43250
2009-01-10,2009-01-11,0.00000071,0.00000071,0.00000071,0.00000071,0,0.03588677,50450
2009-01-11,2009-01-12,0.00000356,0.00000356,0.00000356,0.00000356,0,0.20504183,57650
2009-01-12,2009-01-13,0.00001601,0.00001601,0.00001601,0.00001601,0,1.03792425,64850
2009-01-13,2009-01-14,0.00001885,0.00001885,0.00001885,0.00001885,0,1.35816652,72050
2009-01-14,2009-01-15,0.00002134,0.00002134,0.00002134,0.00002134,0,1.53699004,79250
2009-01-15,2009-01-16,0.00002204,0.00002204,0.00002204,0.00002204,0,1.64838485,86450
2009-01-16,2009-01-17,0.00002134,0.00002134,0.00002134,0.00002134,0,1.70908225,93650
2009-01-17,2009-01-18,0.00001811,0.00001811,0.00001811,0.00001811,0,1.70213088,100850
2009-01-18,2009-01-19,0.00001740,0.00001740,0.00001740,0.00001740,0,1.75348492,108050
2009-01-19,2009-01-20,0.00001994,0.00001994,0.00001994,0.00001994,0,1.91947506,115250
2009-01-20,2009-01-21,0.00002029,0.00002029,0.00002029,0.00002029,0,2.04377668,122450
2009-01-21,2009-01-22,0.00001959,0.00001959,0.00001959,0.00001959,0,2.10269434,129650
2009-01-22,2009-01-23,0.00001495,0.00001495,0.00001495,0.00001495,0,1.93940304,136850
2009-01-23,2009-01-24,0.00000356,0.00000356,0.00000356,0.00000356,0,0.51280344,144050
2009-01-24,2009-01-25,0.00002849,0.00002849,0.00002849,0.00002849,0,4.30829938,151250
2009-01-25,2009-01-26,0.00003381,0.00003381,0.00003381,0.00003381,0,5.34161227,158450
2009-01-26,2009-01-27,0.00002920,0.00002920,0.00002920,0.00002920,0,4.74998693,165650
2009-01-27,2009-01-28,0.00001913,0.00001913,0.00001913,0.00001913,0,3.30701600,172850
2009-01-28,2009-01-29,0.00002098,0.00002098,0.00002098,0.00002098,0,3.77691949,180050
2009-01-29,2009-01-30,0.00002920,0.00002920,0.00002920,0.00002920,0,5.47108634,187250
2009-01-30,2009-01-31,0.00003293,0.00003293,0.00003293,0.00003293,0,6.38810725,194450
2009-01-31,2009-02-01,0.00003102,0.00003102,0.00003102,0.00003102,0,6.26934185,201650
2009-02-01,2009-02-02,0.00003137,0.00003137,0.00003137,0.00003137,0,6.58511958,208850
2009-02-02,2009-02-03,0.00003293,0.00003293,0.00003293,0.00003293,0,7.12168645,216050
2009-02-03,2009-02-04,0.00003557,0.00003557,0.00003557,0.00003557,0,7.95479904,223250
2009-02-04,2009-02-05,0.00003428,0.00003428,0.00003428,0.00003428,0,7.92765714,230450
2009-02-05,2009-02-06,0.00003293,0.00003293,0.00003293,0.00003293,0,7.81532641,237650
2009-02-06,2009-02-07,0.00003364,0.00003364,0.00003364,0.00003364,0,8.23563034,244850
2009-02-07,2009-02-08,0.00003428,0.00003428,0.00003428,0.00003428,0,8.63989818,252050
2009-02-08,2009-02-09,0.00003620,0.00003620,0.00003620,0.00003620,0,9.38710828,259250
2009-02-09,2009-02-10,0.00003557,0.00003557,0.00003557,0.00003557,0,9.48190845,266450
2009-02-10,2009-02-11,0.00003692,0.00003692,0.00003692,0.00003692,0,9.96522039,273650
2009-02-11,2009-02-12,0.00003669,0.00003669,0.00003669,0.00003669,0,10.31041645,280850
